Years_Since_1961,India Population (Millions),India Growth Rate (%),Birth Rate (per 1000),Death Rate (per 1000),World Population (Millions),World Growth Rate (%),Pop_Growth_Abs,Pop_Rolling_3yr,Pop_Rolling_5yr,Growth_Rate_Change,Natural_Increase_Rate,Birth_Rate_Trend,Death_Rate_Trend,World_Pop_Ratio,India_World_Growth_Diff,Urbanization_Rate,Urban_Pop_Millions,Rural_Pop_Millions,Urban_Rural_Ratio,Urb_Rate_Change,Infra_Pressure_Score,School_Pressure,Hospital_Pressure,Road_Pressure,Year
28,855.33,2.13,32.1,11.1,5190.0,1.74,17.860000000000014,837.4933333333333,819.7639999999999,-0.040000000000000036,21.0,32.699999999999996,11.366666666666667,0.1648034682080925,0.3899999999999999,25.108,214.7562564,640.5737436000001,0.3347335494045614,0.22100000000000009,68.24338492599239,43.54981747845045,39.194835730605405,61.38394298878291,1989
29,873.28,2.1,31.5,10.9,5280.0,1.74,17.949999999999932,855.36,837.548,-0.029999999999999805,20.6,32.1,11.133333333333333,0.1653939393939394,0.3600000000000001,25.329,221.19309119999997,652.0869088,0.3386886005821588,0.22100000000000009,68.82230210984794,44.85512511128985,40.36961260016086,62.672149618561654,1990
30,891.27,2.06,30.9,10.6,5368.0,1.67,17.99000000000001,873.2933333333334,855.406,-0.040000000000000036,20.299999999999997,31.5,10.866666666666667,0.1660339046199702,0.3900000000000001,25.55,227.719485,663.550515,0.3426669302934781,0.22100000000000009,69.31943793495134,46.17859416195678,41.5607347457611,63.9632269037828,1991
31,909.31,2.02,30.3,10.3,5453.0,1.57,18.039999999999964,891.2866666666667,873.332,-0.040000000000000036,20.0,30.900000000000002,10.6,0.1667540803227581,0.44999999999999996,25.776,234.3837456,674.9262544,0.34675934552661464,0.2259999999999991,69.8250433353017,47.53002083340266,42.777018750062396,65.25789250830695,1992
32,927.4,1.99,29.8,10.1,5538.0,1.56,18.090000000000032,909.3266666666665,891.318,-0.030000000000000027,19.700000000000003,30.333333333333332,10.333333333333334,0.16746117732033225,0.42999999999999994,26.002,241.14254799999998,686.2574520000001,0.3508765853294814,0.2259999999999991,70.41874701266823,48.9006193706796,44.01055743361164,66.55614643213411,1993
33,945.6,1.96,29.3,9.8,5622.0,1.52,18.200000000000045,927.4366666666666,909.3720000000001,-0.030000000000000027,19.5,29.8,10.066666666666668,0.16819637139807897,0.43999999999999995,26.228,248.01196800000002,697.588032,0.3550189190758997,0.22600000000000264,71.01785159423325,50.293649740074784,45.264284766067306,67.86229465842788,1994
34,963.92,1.94,28.7,9.6,5707.0,1.51,18.319999999999936,945.64,927.5,-0.020000000000000018,19.1,29.26666666666667,9.833333333333334,0.16890134922025582,0.42999999999999994,26.454,254.99539679999998,708.9246032,0.3591865891822919,0.2259999999999991,71.70745867744424,51.70979963350229,46.538819670152066,69.17705485104887,1995
35,982.37,1.91,28.3,9.4,5790.0,1.45,18.450000000000045,963.9633333333333,945.72,-0.030000000000000027,18.9,28.766666666666666,9.6,0.16966666666666666,0.45999999999999996,26.68,262.096316,720.273684,0.36337984015509983,0.2259999999999991,72.31843440480931,53.14977507483816,47.83479756735434,70.50114467385765,1996
36,1000.9,1.89,27.8,9.2,5872.0,1.43,18.529999999999973,982.3966666666666,964.0379999999999,-0.020000000000000018,18.6,28.26666666666667,9.4,0.17045299727520435,0.45999999999999996,26.906,269.302154,731.597846,0.36759888862681694,0.2259999999999991,73.01858003808894,54.61102670466159,49.14992403419543,71.83097580755125,1997
37,1019.48,1.86,27.3,9.0,5954.0,1.39,18.58000000000004,1000.9166666666666,982.454,-0.029999999999999805,18.3,27.8,9.200000000000001,0.17122606650990932,0.4700000000000002,27.131999999999998,276.6053136,742.8746864,0.37184396600271247,0.2259999999999991,73.63738879374371,56.0920139081431,50.48281251732879,73.16439526054786,1998
38,1038.06,1.82,26.9,8.8,6034.0,1.35,18.579999999999927,1019.48,1000.9459999999999,-0.040000000000000036,18.099999999999998,27.333333333333332,9.0,0.17203513423931058,0.47,27.358,283.99245479999996,754.0675452,0.37611529803572324,0.22600000000000264,74.17315482594277,57.59003150418619,51.83102835376757,74.49781471354446,1999
39,1056.58,1.78,26.4,8.7,6114.0,1.32,18.519999999999982,1038.04,1019.4779999999998,-0.040000000000000036,17.7,26.866666666666664,8.833333333333334,0.17281321557082105,0.45999999999999996,27.584,291.4470272,765.1329728,0.38041311044849474,0.2259999999999991,74.70856588322386,59.101723283703976,53.19155095533358,75.82692818337746,2000
40,1075.0,1.74,25.9,8.6,6194.0,1.3,18.420000000000073,1056.5466666666666,1038.0040000000001,-0.040000000000000036,17.299999999999997,26.400000000000002,8.7,0.1735550532773652,0.43999999999999995,27.81,298.9575,776.0425,0.38473764305041225,0.2259999999999991,75.24223987355855,60.624750948181685,54.562275853363516,77.14886501460445,2001
